ROW_IDX,PAPER,DRUG,POLYMER_USED,DRUG_SMILES,POLYMER_PSMILES,WATER_PH,CONCENTRATION,CAPACITY,FORMAT_OK,FORMAT_REASON,SMILES_VALID_OK,SMILES_VALID_REASON,PSMILES_VALID_OK,PSMILES_VALID_REASON,CAPPING_OK,CAPPING_REASON,LOGP_OK,LOGP_REASON,FINGERPRINT_OK,FINGERPRINT_REASON,LOGD_OK,LOGD_REASON,NET_CHARGE_OK,NET_CHARGE_REASON,POLYMETRIX_PSMILES_OK,POLYMETRIX_PSMILES_REASON,POLYMETRIX_SMILES_OK,POLYMETRIX_SMILES_REASON,OVERALL_OK,FAILURE_STAGE,FAILURE_REASON
132,High_Removal_Efficiency_of_Methyl_Orange_Dye_by_Pure_and_Cu_N_Doped_TiO2Polyaniline_Nanocomposites,methyl orange,Ti(Cu)/PANI,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C1=CC=C(N)C=C1*,7,120,102.5,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
133,Histidine-conjugated_chitosan_as_efficient_adsorbent_for_Congo_red_dye_elimination_from_aqueous_solution,Congo Red,Polypyrrole,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*c1cc[nH]c1*,3.0,40.0,18.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
134,Investigation_of_Acid_Blue_62_Dye_Adsorption_using_SBA-15Polyaniline_Mesoporous_Nanocomposite_Kinetic_and_Thermodynamic_Study,Acid Blue 62,SBA-15/Polyaniline,C1CCC(CC1)NC2=CC(=C(C3=C2C(=O)C4=CC=CC=C4C3=O)N)S(=O)(=O)[O-].[Na+],*C1=CC=C(N)C=C1*,2,40,125.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
135,Investigation_of_kinetic_isotherm_and_adsorption_efficacy_of_thorium_by_orange_peel_immobilized_on_calcium_alginate,thorium,calcium alginate,[Th],*C(C(C(C(=O)[O-])O)O)*,3.8,170,18.65,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
136,Investigation_of_kinetic_isotherm_and_adsorption_efficacy_of_thorium_by_orange_peel_immobilized_on_calcium_alginate,thorium,calcium alginate,[Th],*C(C(C(C(=O)[O-])O)O)*,3.8,170,20.22,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
137,Investigation_of_kinetic_isotherm_and_adsorption_efficacy_of_thorium_by_orange_peel_immobilized_on_calcium_alginate,thorium,calcium alginate,[Th],*C(C(C(C(=O)[O-])O)O)*,3.8,100,12.48,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
138,Investigation_of_kinetic_isotherm_and_adsorption_efficacy_of_thorium_by_orange_peel_immobilized_on_calcium_alginate,thorium,calcium alginate,[Th],*C(C(C(C(=O)[O-])O)O)*,3.8,350,22.02,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
139,Investigation_of_kinetic_isotherm_and_adsorption_efficacy_of_thorium_by_orange_peel_immobilized_on_calcium_alginate,thorium,calcium alginate,[Th],*C(C(C(C(=O)[O-])O)O)*,3.8,170,21.79,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
140,Investigation_of_kinetic_isotherm_and_adsorption_efficacy_of_thorium_by_orange_peel_immobilized_on_calcium_alginate,thorium,calcium alginate,[Th],*C(C(C(C(=O)[O-])O)O)*,3.8,170,16.23,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
141,Investigation_of_Reactive_Red_198_Dye_Removal_by_Chitosan_from_Aqueous_Solution,Reactive Red 198,chitosan,C1=CC(=CC(=C1)S(=O)(=O)[O-])NC2=NC(=NC(=N2)Cl)NC3=C4C(=CC(=C3)S(=O)(=O)[O-])C=C(,*C(C(C(C(C(CO)O)O)O)O)*,2,100,186.7,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
142,Investigation_of_Reactive_Red_198_Dye_Removal_by_Chitosan_from_Aqueous_Solution,Reactive Red 198,chitosan,C1=CC(=CC(=C1)S(=O)(=O)[O-])NC2=NC(=NC(=N2)Cl)NC3=C4C(=CC(=C3)S(=O)(=O)[O-])C=C(,*C(C(C(C(C(CO)O)O)O)O)*,3,100,193.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
143,Investigation_of_Reactive_Red_198_Dye_Removal_by_Chitosan_from_Aqueous_Solution,Reactive Red 198,chitosan,C1=CC(=CC(=C1)S(=O)(=O)[O-])NC2=NC(=NC(=N2)Cl)NC3=C4C(=CC(=C3)S(=O)(=O)[O-])C=C(,*C(C(C(C(C(CO)O)O)O)O)*,4,100,196.5,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
144,Investigation_of_Reactive_Red_198_Dye_Removal_by_Chitosan_from_Aqueous_Solution,Reactive Red 198,chitosan,C1=CC(=CC(=C1)S(=O)(=O)[O-])NC2=NC(=NC(=N2)Cl)NC3=C4C(=CC(=C3)S(=O)(=O)[O-])C=C(,*C(C(C(C(C(CO)O)O)O)O)*,5,100,197.4,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
145,Investigation_of_Reactive_Red_198_Dye_Removal_by_Chitosan_from_Aqueous_Solution,Reactive Red 198,chitosan,C1=CC(=CC(=C1)S(=O)(=O)[O-])NC2=NC(=NC(=N2)Cl)NC3=C4C(=CC(=C3)S(=O)(=O)[O-])C=C(,*C(C(C(C(C(CO)O)O)O)O)*,6,100,195.7,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
146,Investigation_of_Reactive_Red_198_Dye_Removal_by_Chitosan_from_Aqueous_Solution,Reactive Red 198,chitosan,C1=CC(=CC(=C1)S(=O)(=O)[O-])NC2=NC(=NC(=N2)Cl)NC3=C4C(=CC(=C3)S(=O)(=O)[O-])C=C(,*C(C(C(C(C(CO)O)O)O)O)*,7,100,194.3,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
147,Investigation_of_Reactive_Red_198_Dye_Removal_by_Chitosan_from_Aqueous_Solution,Reactive Red 198,chitosan,C1=CC(=CC(=C1)S(=O)(=O)[O-])NC2=NC(=NC(=N2)Cl)NC3=C4C(=CC(=C3)S(=O)(=O)[O-])C=C(,*C(C(C(C(C(CO)O)O)O)O)*,8,100,193.8,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
148,Investigation_of_Reactive_Red_198_Dye_Removal_by_Chitosan_from_Aqueous_Solution,Reactive Red 198,chitosan,C1=CC(=CC(=C1)S(=O)(=O)[O-])NC2=NC(=NC(=N2)Cl)NC3=C4C(=CC(=C3)S(=O)(=O)[O-])C=C(,*C(C(C(C(C(CO)O)O)O)O)*,9,100,192.4,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
149,Investigation_of_Reactive_Red_198_Dye_Removal_by_Chitosan_from_Aqueous_Solution,Reactive Red 198,chitosan (under-size),C1=CC(=CC(=C1)S(=O)(=O)[O-])NC2=NC(=NC(=N2)Cl)NC3=C4C(=CC(=C3)S(=O)(=O)[O-])C=C(,*C(C(C(C(C(CO)O)O)O)O)*,5,100,97.41,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
150,Investigation_of_Reactive_Red_198_Dye_Removal_by_Chitosan_from_Aqueous_Solution,Reactive Red 198,chitosan (under-size),C1=CC(=CC(=C1)S(=O)(=O)[O-])NC2=NC(=NC(=N2)Cl)NC3=C4C(=CC(=C3)S(=O)(=O)[O-])C=C(,*C(C(C(C(C(CO)O)O)O)O)*,5,200,197.38,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
151,Investigation_of_Reactive_Red_198_Dye_Removal_by_Chitosan_from_Aqueous_Solution,Reactive Red 198,chitosan (over-size),C1=CC(=CC(=C1)S(=O)(=O)[O-])NC2=NC(=NC(=N2)Cl)NC3=C4C(=CC(=C3)S(=O)(=O)[O-])C=C(,*C(C(C(C(C(CO)O)O)O)O)*,5,100,96.1,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
152,Investigation_of_Reactive_Red_198_Dye_Removal_by_Chitosan_from_Aqueous_Solution,Reactive Red 198,chitosan (over-size),C1=CC(=CC(=C1)S(=O)(=O)[O-])NC2=NC(=NC(=N2)Cl)NC3=C4C(=CC(=C3)S(=O)(=O)[O-])C=C(,*C(C(C(C(C(CO)O)O)O)O)*,5,200,196.22,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
153,Modification_of_SiO2_from_Rice_Husk_with_Polyvinyl_Alcohol_PVA_as_Adsorbent_of_Congo_Red_Dye,Congo red,PVA,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*CC(O)*,1,75,18.44,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
154,Modified_chitosan_as_a_potential_bioresin_for_AgI_recovery,Ag(I),chitosan modified with epichlorohydrin (second trial) and 1-methylimidazole (biopolymer IV),[Ag+],*C(C(C(C(C(CO)O)O)O)O)*,6.70,12.91,30.9,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
155,Modified_chitosan_as_a_potential_bioresin_for_AgI_recovery,Ag(I),unmodified chitosan crosslinked with glutaraldehyde (biopolymer I),[Ag+],*C(C(C(C(C(CO)O)O)O)O)*,6.70,12.91,11.4,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
156,Novel_carbonate_oxide_and_hydroxide_nanohybrids_based_on_Mg_Ba_and_Ca_for_efficient_Safranin_O_dye_adsorption,Safranin O,polyethylene glycol 400,CC1=C(C2=CC3=CC=CC=C3N=C2C=C1N)N,*CCO*,10,250,306.26,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
157,Novel_carbonate_oxide_and_hydroxide_nanohybrids_based_on_Mg_Ba_and_Ca_for_efficient_Safranin_O_dye_adsorption,Safranin O,polyethylene glycol 400,CC1=C(C2=CC3=CC=CC=C3N=C2C=C1N)N,*CCO*,10,250,254.61,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
158,Optimization_of_Methylene_Blue_Dye_Adsorption_onto_Coconut_Husk_Cellulose_Using_Response_Surface_Methodology_Adsorption_Kinetics_Isotherms_and_Reusability_Studies,methylene blue,coconut husk cellulose,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,*C(C(C(C(CO)O)O)O)*,7,30,2.9034,True,,False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,SMILES_VALID,RDKit MolFromSmiles returned None
159,Polyethyleneimine-Modified_Garden_WasteBiochar_Preparation_and_Its_Applicationfor_Aqueous_CrⅥ_Adsorption,Cr(VI),polyethyleneimine,[Cr+6],*CCN*,4,50,44.33,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
160,Polyethyleneimine-Modified_Garden_WasteBiochar_Preparation_and_Its_Applicationfor_Aqueous_CrⅥ_Adsorption,Cr(VI),polyethyleneimine,[Cr+6],*CCN*,4,80,49.65,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
161,Polyethyleneimine-Modified_Garden_WasteBiochar_Preparation_and_Its_Applicationfor_Aqueous_CrⅥ_Adsorption,Cr(VI),polyethyleneimine,[Cr+6],*CCN*,4,50.22,29.53,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
162,Polyethyleneimine-Modified_Garden_WasteBiochar_Preparation_and_Its_Applicationfor_Aqueous_CrⅥ_Adsorption,Cr(VI),polyethyleneimine,[Cr+6],*CCN*,4,50.22,27.76,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
163,Polyethyleneimine-Modified_Garden_WasteBiochar_Preparation_and_Its_Applicationfor_Aqueous_CrⅥ_Adsorption,Cr(VI),polyethyleneimine,[Cr+6],*CCN*,4,50.22,23.01,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
164,Polyethyleneimine-Modified_Garden_WasteBiochar_Preparation_and_Its_Applicationfor_Aqueous_CrⅥ_Adsorption,Cr(VI),polyethyleneimine,[Cr+6],*CCN*,4,50.22,30.45,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
165,Polyethyleneimine-Modified_Garden_WasteBiochar_Preparation_and_Its_Applicationfor_Aqueous_CrⅥ_Adsorption,Cr(VI),polyethyleneimine,[Cr+6],*CCN*,4,50.22,27.49,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
166,Polyethyleneimine-Modified_Garden_WasteBiochar_Preparation_and_Its_Applicationfor_Aqueous_CrⅥ_Adsorption,Cr(VI),polyethyleneimine,[Cr+6],*CCN*,4,50.22,22.27,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
167,Polyethyleneimine-Modified_Garden_WasteBiochar_Preparation_and_Its_Applicationfor_Aqueous_CrⅥ_Adsorption,Cr(VI),polyethyleneimine,[Cr+6],*CCN*,4,50.22,36.48,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
168,Polyethyleneimine-Modified_Garden_WasteBiochar_Preparation_and_Its_Applicationfor_Aqueous_CrⅥ_Adsorption,Cr(VI),polyethyleneimine,[Cr+6],*CCN*,4,50.22,34.86,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
169,Polyethyleneimine-Modified_Garden_WasteBiochar_Preparation_and_Its_Applicationfor_Aqueous_CrⅥ_Adsorption,Cr(VI),polyethyleneimine,[Cr+6],*CCN*,4,50.22,29.37,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
170,Polymeric_Composites_for_Efficient_Dye_Removal_Adsorption_Mechanisms_Environmental_Impact_and_Performance_Evaluation,Cefixime,PVA/HKUST,C=CC1=C(N2C(C(C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O,*CC(O)*,8,20,282.5,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
171,Polyurea_Membrane_as_potential_purifying_technology_for_Water_Cleaning_Kinetic_and_Equilibrium_Modeling_of_Dyes_Adsorption,Congo red,polyurea,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*NC(=O)N*,7.0,0.72,1.2,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
172,Polyurea_Membrane_as_potential_purifying_technology_for_Water_Cleaning_Kinetic_and_Equilibrium_Modeling_of_Dyes_Adsorption,Congo red,polyurea,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*NC(=O)N*,7.0,1.59,2.16,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
173,Polyurea_Membrane_as_potential_purifying_technology_for_Water_Cleaning_Kinetic_and_Equilibrium_Modeling_of_Dyes_Adsorption,Congo red,polyurea,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*NC(=O)N*,7.0,2.70,4.14,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
174,Preparation_and_characterization_of_chitosanzeolite_composites_for_Reactive_Orange_122_dye_removal_from_aqueous_media_isotherm_and_kinetic_studies,Reactive Orange 122,chitosan,C1=CC2=C(C=CC(=C2S(=O)(=O)[O-])NN=C3C(=CC4=C(C3=O)C=CC(=C4)NC5=NC(=NC(=N5)NC6=CC,*C(C(C(C(C(CO)O)O)O)O)*,4,100,9.95,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
175,Recent_advances_on_the_removal_of_dyes_from_wastewater_using_various_adsorbents_a_critical_review,Rhodamine B,carbohydrate polymeric biodegradable adsorbent of wheat flour,CCN(CC)c1ccc2c(c1)c(c3ccccc3o2)c4ccc(cc4)C(=O)O,*C(C(C(C(CO)O)O)O)*,5.5,5.0,142.26,True,,False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,SMILES_VALID,RDKit MolFromSmiles returned None
176,Removal_of_Congo_Red_From_Water_By_Adsorption_Onto_Chitosan-BN-Fe2O3_Kinetic_and_Isotherm_Studies,Congo Red,Chitosan-BN-Fe2O3,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(C(CO)O)O)O)O)*,7,50,24.89,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
177,Removal_of_Congo_Red_From_Water_By_Adsorption_Onto_Chitosan-BN-Fe2O3_Kinetic_and_Isotherm_Studies,Congo Red,Chitosan-BN-Fe2O3,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(C(CO)O)O)O)O)*,7,100,49.52,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
178,Removal_of_Congo_Red_From_Water_By_Adsorption_Onto_Chitosan-BN-Fe2O3_Kinetic_and_Isotherm_Studies,Congo Red,Chitosan-BN-Fe2O3,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(C(CO)O)O)O)O)*,7,150,70.6,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
179,Removal_of_Congo_Red_From_Water_By_Adsorption_Onto_Chitosan-BN-Fe2O3_Kinetic_and_Isotherm_Studies,Congo Red,Chitosan-BN-Fe2O3,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(C(CO)O)O)O)O)*,7,200,85.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
180,Removal_of_hexavalent_chromium_from_aqueous_solutions_using_nano-Fe3O4waste_banana_peelalginate_hydrogel_biobeads_as_adsorbent,Cr(VI),sodium alginate,[Cr+6],*C(C(C(C(=O)[O-])O)O)*,2,100,40.64,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
181,Removal_of_Mn_II_by_Sodium_AlginateGraphene_Oxide_Composite_Double-Network_Hydrogel_Beads_from_Aqueous_Solutions,Mn(II),GAD hydrogel beads,[Mn+2],*C(C(C(C(=O)[O-])O)O)*,6,10,2.07,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
182,Removal_of_Mn_II_by_Sodium_AlginateGraphene_Oxide_Composite_Double-Network_Hydrogel_Beads_from_Aqueous_Solutions,Mn(II),GAD hydrogel beads,[Mn+2],*C(C(C(C(=O)[O-])O)O)*,6,50,8.47,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
183,Removal_of_Mn_II_by_Sodium_AlginateGraphene_Oxide_Composite_Double-Network_Hydrogel_Beads_from_Aqueous_Solutions,Mn(II),GAD hydrogel beads,[Mn+2],*C(C(C(C(=O)[O-])O)O)*,6,125,19.81,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
184,Removal_of_Mn_II_by_Sodium_AlginateGraphene_Oxide_Composite_Double-Network_Hydrogel_Beads_from_Aqueous_Solutions,Mn(II),GAD hydrogel beads,[Mn+2],*C(C(C(C(=O)[O-])O)O)*,6,200,18.11,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
185,Repurposing_waste_plastic_into_a_sustainable_adsorbent_for_removing_synthetic_dye_experimental_optimization_and_theoretical_modeling,Brilliant Green,PET,CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,*CCOC(=O)c1ccc(cc1)C(=O)*,7,7.5,1.89,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
186,Repurposing_waste_plastic_into_a_sustainable_adsorbent_for_removing_synthetic_dye_experimental_optimization_and_theoretical_modeling,Brilliant Green,PET,CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,*CCOC(=O)c1ccc(cc1)C(=O)*,7,7.5,0.81,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
187,Sorption_of_Cobalt_II_Ions_from_Aqueous_Solutions_Using_Chemically_Modified_Chitosan,Co(II),chitosan-vanillin,[Co+2],*C(C(C(C(C(CO)O)O)O)N=Cc1ccc(c(c1)O)OC)*,4,0.232,0.767,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
188,Sorption_of_Cobalt_II_Ions_from_Aqueous_Solutions_Using_Chemically_Modified_Chitosan,Co(II),chitosan-vanillin,[Co+2],*C(C(C(C(C(CO)O)O)O)N=Cc1ccc(c(c1)O)OC)*,4,1.225,1.774,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
189,Sorption_of_Cobalt_II_Ions_from_Aqueous_Solutions_Using_Chemically_Modified_Chitosan,Co(II),chitosan-vanillin,[Co+2],*C(C(C(C(C(CO)O)O)O)N=Cc1ccc(c(c1)O)OC)*,4,2.246,2.753,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
190,Sorption_of_Cobalt_II_Ions_from_Aqueous_Solutions_Using_Chemically_Modified_Chitosan,Co(II),chitosan-vanillin,[Co+2],*C(C(C(C(C(CO)O)O)O)N=Cc1ccc(c(c1)O)OC)*,4,5.658,4.342,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
191,Sorption_of_Cobalt_II_Ions_from_Aqueous_Solutions_Using_Chemically_Modified_Chitosan,Co(II),chitosan-vanillin,[Co+2],*C(C(C(C(C(CO)O)O)O)N=Cc1ccc(c(c1)O)OC)*,4,10.168,4.831,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
192,Sorption_of_Cobalt_II_Ions_from_Aqueous_Solutions_Using_Chemically_Modified_Chitosan,Co(II),chitosan-ortho-vanillin,[Co+2],*C(C(C(C(C(CO)O)O)O)N=Cc1cccc(c1O)OC)*,4,0.340,0.659,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
193,Sorption_of_Cobalt_II_Ions_from_Aqueous_Solutions_Using_Chemically_Modified_Chitosan,Co(II),chitosan-ortho-vanillin,[Co+2],*C(C(C(C(C(CO)O)O)O)N=Cc1cccc(c1O)OC)*,4,1.358,1.642,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
194,Sorption_of_Cobalt_II_Ions_from_Aqueous_Solutions_Using_Chemically_Modified_Chitosan,Co(II),chitosan-ortho-vanillin,[Co+2],*C(C(C(C(C(CO)O)O)O)N=Cc1cccc(c1O)OC)*,4,2.283,2.716,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
195,Sorption_of_Cobalt_II_Ions_from_Aqueous_Solutions_Using_Chemically_Modified_Chitosan,Co(II),chitosan-ortho-vanillin,[Co+2],*C(C(C(C(C(CO)O)O)O)N=Cc1cccc(c1O)OC)*,4,5.688,4.312,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
196,Sorption_of_Cobalt_II_Ions_from_Aqueous_Solutions_Using_Chemically_Modified_Chitosan,Co(II),chitosan-ortho-vanillin,[Co+2],*C(C(C(C(C(CO)O)O)O)N=Cc1cccc(c1O)OC)*,4,9.630,5.369,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
197,Sorption_of_PtIV_ions_on_polym-aminobenzoic_acid_chelating_polymer_Equilibrium_kinetic_and_thermodynamic_studies,Pt(IV),poly(m-aminobenzoic acid),[Pt],*Nc1cc(C(=O)*)ccc1,4,10,0.893,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
198,Sorption_of_PtIV_ions_on_polym-aminobenzoic_acid_chelating_polymer_Equilibrium_kinetic_and_thermodynamic_studies,Pt(IV),poly(m-aminobenzoic acid),[Pt],*Nc1cc(C(=O)*)ccc1,4,15,1.157,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
199,Sorption_of_PtIV_ions_on_polym-aminobenzoic_acid_chelating_polymer_Equilibrium_kinetic_and_thermodynamic_studies,Pt(IV),poly(m-aminobenzoic acid),[Pt],*Nc1cc(C(=O)*)ccc1,4,20,1.417,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
200,Sorption_of_PtIV_ions_on_polym-aminobenzoic_acid_chelating_polymer_Equilibrium_kinetic_and_thermodynamic_studies,Pt(IV),poly(m-aminobenzoic acid),[Pt],*Nc1cc(C(=O)*)ccc1,4,30,1.928,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
201,Sorption_of_PtIV_ions_on_polym-aminobenzoic_acid_chelating_polymer_Equilibrium_kinetic_and_thermodynamic_studies,Pt(IV),poly(m-aminobenzoic acid),[Pt],*Nc1cc(C(=O)*)ccc1,4,40,2.082,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
202,Study_of_a_fixed-bed_column_in_the_adsorption_of_an_azo_dye_from_an_aqueous_medium_using_a_chitosanglutaraldehyde_biosorbent,Direct Blue 71,chitosan-glutaraldehyde,C1=CC=C2C(=C1)C(=CC=C2N=NC3=CC4=C(C=CC=C4S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-])N=NC5,*C(C(C(C(C(CO)O)O)O)O)*,4,15,125.89,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
203,Study_of_a_fixed-bed_column_in_the_adsorption_of_an_azo_dye_from_an_aqueous_medium_using_a_chitosanglutaraldehyde_biosorbent,Direct Blue 71,chitosan-glutaraldehyde,C1=CC=C2C(=C1)C(=CC=C2N=NC3=CC4=C(C=CC=C4S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-])N=NC5,*C(C(C(C(C(CO)O)O)O)O)*,4,15,93.5,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
204,Study_of_a_fixed-bed_column_in_the_adsorption_of_an_azo_dye_from_an_aqueous_medium_using_a_chitosanglutaraldehyde_biosorbent,Direct Blue 71,chitosan-glutaraldehyde,C1=CC=C2C(=C1)C(=CC=C2N=NC3=CC4=C(C=CC=C4S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-])N=NC5,*C(C(C(C(C(CO)O)O)O)O)*,4,15,106.15,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
205,Study_of_a_fixed-bed_column_in_the_adsorption_of_an_azo_dye_from_an_aqueous_medium_using_a_chitosanglutaraldehyde_biosorbent,Direct Blue 71,chitosan-glutaraldehyde,C1=CC=C2C(=C1)C(=CC=C2N=NC3=CC4=C(C=CC=C4S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-])N=NC5,*C(C(C(C(C(CO)O)O)O)O)*,4,15,102.31,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
206,Study_of_a_fixed-bed_column_in_the_adsorption_of_an_azo_dye_from_an_aqueous_medium_using_a_chitosanglutaraldehyde_biosorbent,Direct Blue 71,chitosan-glutaraldehyde,C1=CC=C2C(=C1)C(=CC=C2N=NC3=CC4=C(C=CC=C4S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-])N=NC5,*C(C(C(C(C(CO)O)O)O)O)*,4,15,63.56,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
