POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,POLYMER_PSMILES,DRUG_SMILES
chitosan and alginate,Cr(VI),NaN,6.11,0.14,Fabrication of Adsorbent using Nano-Sized Lignocellulosic Biochar Coated on Luffa aegyptiaca Sponge to Remove Heavy Metal Chromium VI,,
chitosan and alginate,Cr(VI),NaN,0.55,0.36,Fabrication of Adsorbent using Nano-Sized Lignocellulosic Biochar Coated on Luffa aegyptiaca Sponge to Remove Heavy Metal Chromium VI,,
Lignin derivate magnetic hydrogel microspheres,Pb(II),5.0,NaN,33.00,[52],,[Pb+2]
polyacrylic acid/chitosan,methylene blue,6,50,30,Jundishapur J Nat Pharm Prod. 2026;21(1):e167223,,
polyacrylic acid/chitosan,methylene blue,6,100,45,Jundishapur J Nat Pharm Prod. 2026;21(1):e167223,,
polyacrylic acid/chitosan,methylene blue,6,NaN,78.125,Jundishapur J Nat Pharm Prod. 2026;21(1):e167223,,
Alginate-BiBDC,methylene blue,NaN,10,4.5,bcrec.20680,,
Alginate-BiBDC,methylene blue,NaN,15,6.15,bcrec.20680,,
Alginate-BiBDC,methylene blue,NaN,20,8,bcrec.20680,,
Alginate-BiBDC,methylene blue,NaN,25,8.5,bcrec.20680,,
Alginate-BiBDC,methylene blue,NaN,30,9,bcrec.20680,,
Alginate-BiBDC,methylene blue,NaN,NaN,9.9,bcrec.20680,,
chitosan,ciprofloxacin,9,NaN,31.26,this study,,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
CYP-PPy,Congo red,NaN,80,8.1031,RSC Adv. 2022,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
CYP-PPy,Congo red,NaN,100,10.1338,RSC Adv. 2022,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
CYP-PPy,Congo red,NaN,150,14.5117,RSC Adv. 2022,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
CYP-PPy,Congo red,NaN,250,22.4014,RSC Adv. 2022,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
CYP-PPy,Congo red,NaN,NaN,53.1632,RSC Adv. 2022,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
AFPA/NS hydrogel,Eu(III),0.5,250,202.08,Elashry et al. (2026) J Polym Environ 34:118,,
AFPA/NS hydrogel,Ti(IV),4,250,125.7,Elashry et al. (2026) J Polym Environ 34:118,,
Chitosan-coated Jojoba leaves,Congo Red,NaN,50,0.006,10.22146/ijc.29264,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Chitosan-coated Jojoba leaves,Congo Red,NaN,100,0.014,10.22146/ijc.29264,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
BC/dry/PPy,Cr(VI),3,50,220,ACS Appl. Polym. Mater. 2024,,
BC/wet/PPy,Cr(VI),3,50,220,ACS Appl. Polym. Mater. 2024,,
BC/dry/PPy,Cr(VI),3,NaN,294.1,ACS Appl. Polym. Mater. 2024,,
BC/wet/PPy,Cr(VI),3,NaN,285.7,ACS Appl. Polym. Mater. 2024,,
grafted potato starch,Ca2+ and Mg2+,NaN,547,3.647,Hernández-Cruz et al. 2025,,
Sep/PAN composite,Ca2+ and Mg2+,NaN,NaN,316,Hernández-Cruz et al. 2025,,
polystyrene sulfonate,diclofenac,NaN,50,45.6,Functional Surface Tailoring of Chak'o Nanoclay for Efficient Removal of Emerging Contaminants from the Mantaro River (2025),,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
polystyrene sulfonate,atrazine,NaN,30,48.3,Functional Surface Tailoring of Chak'o Nanoclay for Efficient Removal of Emerging Contaminants from the Mantaro River (2025),,
Modified chitosan,Cr(VI),5.5,NaN,8.310,73,,
Carboxymethyl cellulose,Nd(III),3,NaN,661.21,Cellulose (2022) 29:9831-9846,,
Carboxymethyl cellulose,Ce(III),3,NaN,436.55,Cellulose (2022) 29:9831-9846,,
MNPs-Ca-alginate immobilized P. chrysosporium,Pb(II),NaN,NaN,176.33,"""Xu et al.",,[Pb+2]
CuO/PANI,Pb(II),2,25,90.86,https://doi.org/10.1038/s41598-024-81970-2,,[Pb+2]
CuO/PANI,Pb(II),2,50,171.04,https://doi.org/10.1038/s41598-024-81970-2,,[Pb+2]
CuO/PANI,Pb(II),2,75,143.62,https://doi.org/10.1038/s41598-024-81970-2,,[Pb+2]
CuO/PANI,Pb(II),2,100,256.39,https://doi.org/10.1038/s41598-024-81970-2,,[Pb+2]
CuO/PANI,Pb(II),2,125,322.844,https://doi.org/10.1038/s41598-024-81970-2,,[Pb+2]
CuO/PANI,Pb(II),6,NaN,295.74,https://doi.org/10.1038/s41598-024-81970-2,,[Pb+2]
Chitosan,Phenol,5,NaN,10.414,Science and Technology Indonesia 7(4) 2022,,
Chitosan@NiAl LDH,Phenol,5,NaN,14.663,Science and Technology Indonesia 7(4) 2022,,
AgNPs/GG/Poly(AA),Methylene blue,NaN,NaN,833.33,Singh and Dhaliwal (2021),,
Poly(AA-co-MMASH),Cu+2,NaN,NaN,196,Wen et al. (2022),,
Phosphorylated GG/chitosan,Uranium,NaN,NaN,NaN,Hamza et al. (2021),,
Phosphorylated GG/chitosan,Neodymium,NaN,NaN,NaN,Hamza et al. (2021),,
Gk-cl-poly(AA)-AgNPs,methyl red,NaN,NaN,3.71,Table 1 pseudo first order,,
Alginate,methylene blue,12,20,23.122,DOI:10.1039/d3ma00505d,,
Alginate,methylene blue,12,NaN,212.77,DOI:10.1039/d3ma00505d,,
lettuce leaves modified with alginate and DTPA,Pb²⁺,NaN,NaN,168.35,[43],,
Polydopamine composite,Pb,NaN,1,394,Daniel et al. 2018,,
Calcium alginate beads,Pb2+ and Cd2+,6.0 to 7.0,NaN,NaN,[3],,
Polyvinyl alcohol/sodium alginate (PVA/SA) beads,Fe3+ and Al3+,NaN,NaN,NaN,[25],,
PANI,methyl orange,7,120,82.1,https://doi.org/10.33263/BRIAC121.893909,,
Ti/PANI,methyl orange,7,120,103.1,https://doi.org/10.33263/BRIAC121.893909,,
Ti(N)/PANI,methyl orange,7,120,101.6,https://doi.org/10.33263/BRIAC121.893909,,
Ti(Cu)/PANI,methyl orange,7,120,102.5,https://doi.org/10.33263/BRIAC121.893909,,
PEI-grafted gelatin sponge,Pb(II),6.0,NaN,66,abstract,,[Pb+2]
PEI-grafted gelatin sponge,Cd(II),6.0,NaN,65,abstract,,[Cd+2]
gelatin sponge,Pb(II),6.0,NaN,9.75,abstract,,[Pb+2]
gelatin sponge,Cd(II),6.0,NaN,9.35,abstract,,[Cd+2]
PEI-grafted gelatin sponge,Pb(II),NaN,NaN,57.8,stability,,[Pb+2]
PEI-grafted gelatin sponge,Cd(II),NaN,NaN,58.2,stability,,[Cd+2]
Polypyrrole,Congo Red,3.0,40.0,18.0,60,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Polystyrene,Methylene Blue,NaN,250,NaN,DOI:10.17344/acsi.2019.5227,,
poly(glycidyl methacrylate-co-polyethylene glycol dimethacrylate),Cu(II),,,85.6,[38],,
Cross-linked chitosan magnetic modified with methionine glutaraldehyde,Cu(II),,,172.4,[40],,
Chitosan embedded hydrazine-pyrazole heterocyclic derivatives (HPCS),Cu(II),,,178.5,Current work,,
ZVI/chitosan,U(VI),6,NaN,591.72,[165],,
chitosan/PVA/ZVI,As(V),7,NaN,200,[183],,
chitosan/PVA/ZVI,As(III),7,NaN,142.9,[183],,
AO-modified poly(AN-co-AA),p-nitrophenol,7,20,8.771,"""RSC Adv.",,
AO-modified poly(AN-co-AA),p-nitrophenol,7,50,20.380,"""RSC Adv.",,
AO-modified poly(AN-co-AA),p-nitrophenol,7,100,40.050,"""RSC Adv.",,
AO-modified poly(AN-co-AA),p-nitrophenol,7,150,57.690,"""RSC Adv.",,
AO-modified poly(AN-co-AA),p-nitrophenol,7,200,74.260,"""RSC Adv.",,
bee carcasses and wastes/polyaniline composite,Cr(VI),6,50,NaN,Table 1,,
bee carcasses and wastes/polyaniline/polyethylene glycol composite,Cr(VI),6,50,NaN,Table 1,,
bee carcasses and wastes/polyaniline/polyethylene glycol composite,Cr(VI),NaN,NaN,45.25,Table 3,,
SBA-15/Polyaniline,Acid Blue 62,2,40,125,Iranian Journal of Health Sciences 2017; 5(3): 17-34,,
chitosan/StNPs composite,indigo carmine,4.8,100,150,Figure 6a,,
calcium alginate,thorium,3.8,170,18.65,10.1038/s41598-023-35629-z,,
calcium alginate,thorium,3.8,100,12.48,10.1038/s41598-023-35629-z,,
calcium alginate,thorium,3.8,350,22.02,10.1038/s41598-023-35629-z,,
chitosan,Reactive Red 198,2,100,186.7,https://doi.org/10.46989/001c.88510,,
chitosan,Reactive Red 198,3,100,193,https://doi.org/10.46989/001c.88510,,
chitosan,Reactive Red 198,4,100,196.5,https://doi.org/10.46989/001c.88510,,
chitosan,Reactive Red 198,5,100,197.4,https://doi.org/10.46989/001c.88510,,
chitosan,Reactive Red 198,6,100,195.7,https://doi.org/10.46989/001c.88510,,
chitosan,Reactive Red 198,7,100,194.3,https://doi.org/10.46989/001c.88510,,
chitosan,Reactive Red 198,8,100,193.8,https://doi.org/10.46989/001c.88510,,
chitosan,Reactive Red 198,9,100,192.4,https://doi.org/10.46989/001c.88510,,
chitosan,Reactive Red 198,NaN,100,196.9,https://doi.org/10.46989/001c.88510,,
chitosan (under-size),Reactive Red 198,5,100,97.41,https://doi.org/10.46989/001c.88510,,
chitosan (under-size),Reactive Red 198,5,200,197.38,https://doi.org/10.46989/001c.88510,,
chitosan (over-size),Reactive Red 198,5,100,96.1,https://doi.org/10.46989/001c.88510,,
chitosan (over-size),Reactive Red 198,5,200,196.22,https://doi.org/10.46989/001c.88510,,
chitosan,Reactive Red 198,5,NaN,500,https://doi.org/10.46989/001c.88510,,
AAm/AMPS/PEG (0.5g PEG,AMPS=60mg),Lauths violet,NaN,20e-6,1.12e-5,,
AAm/AMPS/PEG (0.5g PEG,AMPS=120mg),Lauths violet,NaN,20e-6,1.23e-5,,
AAm/AMPS/PEG (0.5g PEG,AMPS=180mg),Lauths violet,NaN,20e-6,0.94e-5,,
AAm/AMPS/PEG (0.5g PEG,AMPS=240mg),Lauths violet,NaN,20e-6,1.30e-5,,
AAm/AMPS/PEG (0.5g PEG,AMPS=300mg),Lauths violet,NaN,20e-6,1.22e-5,,
AAm/AMPS/PEG (AMPS=180mg,PEG=0.25g),Lauths violet,NaN,20e-6,1.08e-5,,
AAm/AMPS/PEG (AMPS=180mg,PEG=0.50g),Lauths violet,NaN,20e-6,0.94e-5,,
AAm/AMPS/PEG (AMPS=180mg,PEG=0.75g),Lauths violet,NaN,20e-6,1.00e-5,,
AAm/AMPS/PEG (AMPS=180mg,PEG=1.00g),Lauths violet,NaN,20e-6,0.94e-5,,
Modified Shrimp Shell-Polyethylenimine,Metanil Yellow,5,1200,116.23,Jurnal Kimia Valensi 8(1) 10-22 (2022),,
Modified Shrimp Shell-Polyethylenimine,Metanil Yellow,NaN,NaN,116.554,Jurnal Kimia Valensi 8(1) 10-22 (2022),,
quaternary ammonium polymer,nitrate,9,NaN,24.86,Jurnal Sains Natural 15 (2025) 001-009,,
PANI-TWC,trinitrophenol,6,10,66.7917,doi:10.33765/thate.12.4.1,,
chitosan 8B,Reactive Red 239,4,100,49.70,10.4236/abc.2019.91001,,
chitosan 8B,Reactive Red 239,5,100,43.33,10.4236/abc.2019.91001,,
chitosan 8B,Reactive Red 239,6,100,41.13,10.4236/abc.2019.91001,,
chitosan 8B,Reactive Red 239,7,100,34.13,10.4236/abc.2019.91001,,
chitosan 8B,Reactive Red 239,8,100,33.27,10.4236/abc.2019.91001,,
chitosan 8B,Reactive Red 239,9,100,30.10,10.4236/abc.2019.91001,,
chitosan 8B,Reactive Red 239,10,100,19.20,10.4236/abc.2019.91001,,
chitosan 8B,Reactive Red 239,4,30,14.57,10.4236/abc.2019.91001,,
chitosan 8B,Reactive Red 239,4,50,25.03,10.4236/abc.2019.91001,,
chitosan 8B,Reactive Red 239,4,150,59.77,10.4236/abc.2019.91001,,
chitosan 8B,Reactive Red 239,4,200,71.67,10.4236/abc.2019.91001,,
chitosan 8B,Reactive Red 239,4,NaN,123.46,10.4236/abc.2019.91001,,
PVA 1 gram,tetrasiklin,NaN,20,NaN,"""Jurnal Teknologi Lingkungan Lahan Basah",,
PVA 2 gram,tetrasiklin,NaN,20,NaN,"""Jurnal Teknologi Lingkungan Lahan Basah",,
PVA 3 gram,tetrasiklin,NaN,20,NaN,"""Jurnal Teknologi Lingkungan Lahan Basah",,
Mg-Al-CO3 LDH/Chitosan,phosphate,NaN,NaN,106.3,72,,
chitosan-calcite,phosphate,NaN,20,16.05,Batch kinetic at 22°C,,
chitosan-calcite,phosphate,NaN,0.1,0.88,Isotherm at 22°C (q0.1),,
chitosan-calcite,phosphate,NaN,5,2.4,Fixed-bed column study (inlet P=5 mg/L),,
chitosan-calcite,phosphate,NaN,10,1.4,Fixed-bed column study (bed height=3 cm),,
Polypyrrole/ bagasse polymer composite,Cr(VI),NaN,NaN,251,[2],,
Crosslinked magnetic chitosan,Cu(II),NaN,NaN,78.13,141,,
PAN,Toluidine Blue,NaN,1,325,Magnetic Composite Nanofibers as Advanced Adsorbents for Toluidine Blue and Congo Red Dyes,,
PAN,Congo Red,NaN,1,350,Magnetic Composite Nanofibers as Advanced Adsorbents for Toluidine Blue and Congo Red Dyes,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
poly(ionic liquid),alizarin red,NaN,NaN,510.2,Yang et al.,,
Chitosan,Sulfamethazine,7,500,124.2,10.25259/AJC_1285_2025,,
Chitosan,Sulfanilamide,7,500,82.0,10.25259/AJC_1285_2025,,
Refined aspen wood fiber (carboxymethyl cellulose+FeCl2),Phosphates,NaN,NaN,4.14,Eberhardt and Min (2008),,
Commercial dry baker’s yeast (alginate beads),Hexavalent chromium,NaN,NaN,95,De Rossi et al. (2020),,
Shrimp shell-derived chitosan,Ferrous iron,NaN,NaN,65.2,Mohanasrinivasan et al. (2014),,
Shrimp shell-derived chitosan,Hexavalent chromium,NaN,NaN,37.51,Mohanasrinivasan et al. (2014),,
Microcrystalline cellulose from sugarcane bagasse,Methylene Blue,9,200,87.19,Onigbinde et al. 2022,,
XG-g-PAm hydrogel,Acid Red 8,1,500,177,Present study,,
XG-g-PAm hydrogel,Acid Red 8,10,500,16,Present study,,
XG-g-PAm hydrogel,Acid Red 8,1,100,177,Present study,,
XG-g-PAm hydrogel,Acid Red 8,1,3000,3140,Present study,,
XG-g-PAm hydrogel,Acid Red 8,1,NaN,1250,Present study,,
PVA,Congo red,1,75,18.44,10.24845/ijfac.v10.i2.117,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
PVA,Congo red,NaN,NaN,14.31,10.24845/ijfac.v10.i2.117,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Modified cationic cellulose derived from coconut,Congo red,NaN,NaN,19.372,Cocos (2021),,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Modified cationic cellulose derived from coconut,Tartrazin,NaN,NaN,18.412,Cocos (2021),,
chitosan modified with epichlorohydrin (second trial) and 1-methylimidazole (biopolymer IV),Ag(I),6.70,12.91,30.9,Table 2,,
unmodified chitosan crosslinked with glutaraldehyde (biopolymer I),Ag(I),6.70,12.91,11.4,Table 2,,
FDU-12-methacrylate/PMMA,Pb(II),8.0,NaN,105.3,This work,,[Pb+2]
porous starch aerogel,methyl orange,9,NaN,189.7,[17],,
porous starch aerogel,methyl orange,NaN,NaN,198.5,[17],,
chitosan,methyl orange,NaN,NaN,123.46,[43],,
kappa-carrageenan/sodium alginate,crystal violet,NaN,NaN,88.8,[44],,
microcrystalline cellulose modified with 1,2,3,4-butanetetracarboxylic acid,Pb2+,5,,
cellulose acetate fiber membrane,methylene blue (MB),NaN,NaN,69.89,Chen et al.,,
cellulose acetate fiber membrane,Congo red (CR),NaN,NaN,67.31,Chen et al.,,
anionic cellulose foam,Eosin Y,NaN,NaN,364.22,Feng et al.,,
cellulose with hyperbranched polyamide,orange II (OT),NaN,NaN,976,Yu et al.,,
chitosan/CMC hollow capsules,methylene blue (MB),NaN,NaN,64.6,Kong et al.,,
chitosan/CMC hollow capsules,methyl orange (MO),NaN,NaN,334.8,Kong et al.,,
chitosan/CMC hollow capsules,acid blue-113 (AB),NaN,NaN,526.8,Kong et al.,,
hollow CMC microspheres/poly(ethyleneimine),methylene blue (MB),NaN,NaN,452,Yang et al.,,
cellulose/iron oxyhydroxide,arsenite,7,NaN,99.6,Guo and Chen,,
cellulose/iron oxyhydroxide,arsenate,7,NaN,33.2,Guo and Chen,,
iron-based metal-organic framework@cellulose aerogels,Congo red (CR),NaN,NaN,280.3,Huang et al.,,
lemon peel/microcrystalline cellulose hydrogels,methylene blue (MB),NaN,NaN,57.54,Dai et al.,,
UiO-66/nanocellulose aerogels,methyl orange,NaN,NaN,71.7,Wang et al.,,
UiO-66/nanocellulose aerogels,methylene blue (MB),NaN,NaN,51.8,Wang et al.,,
cellulose aerogel,oil,NaN,NaN,170,Dilamian and Noroozi,,
Dialdehyde-CNC/PVAm hydrogel,AR GR,NaN,NaN,1469.7,"""Jin et al.",,
Dialdehyde-CNC/PVAm hydrogel,reactive light yellow K-4G,NaN,NaN,1250.9,"""Jin et al.",,
Chitosan-based magnetic composite,diclofenac sodium,NaN,NaN,196.00,[38],,
Modified nanocellulose aerogel,Cu(II),NaN,NaN,300,46,,
In situ TEMPO functionalized nanocellulose-based membranes,Fe2+/Fe3+,NaN,NaN,456,167,,
Cellulose acetate/chitosan blend films,Orange 7,NaN,NaN,9.98,177,,
Cellulose acetate/chitosan blend films,brilliant yellow,NaN,NaN,9.38,177,,
Chitosan-grafted-polyethyleneimine,Reactive black 5,NaN,NaN,707.27,191,,
Poly(AA-co-AMA),Direct Brown 2,NaN,NaN,7,http://dx.doi.org/10.1590/0104-1428.1615,,
polyethylene glycol 400,Safranin O,10,250,306.26,BMC600,,
polyethylene glycol 400,Safranin O,10,NaN,318.47,BMC600,,
DOTA@sludge@chitosan,Pb(II),5.08,NaN,329.4,Table 4,,[Pb+2]
CS-PDA aerogel,Pb(II),5.5,NaN,441.2,Table 4,,[Pb+2]
gelatin-cl-poly(AAm-co-IA)/MMT (3%),malachite green,7,50,38.9,Sci Rep 14,,
gelatin-cl-poly(AAm-co-IA)/MMT (3%),malachite green,7,100,69.3,Sci Rep 14,,
gelatin-cl-poly(AAm-co-IA)/MMT (3%),malachite green,7,25,22.5,Sci Rep 14,,
gelatin-cl-poly(AAm-co-IA)/MMT (3%),malachite green,7,350,331.1,Sci Rep 14,,
gelatin-cl-poly(AAm-co-IA)/MMT (3%),malachite green,7,550,53.6,Sci Rep 14,,
gelatin-cl-poly(AAm-co-IA)/MMT (3%),malachite green,3,350,65.9,Sci Rep 14,,
gelatin-cl-poly(AAm-co-IA)/MMT (3%),malachite green,9,350,345,Sci Rep 14,,
GG/LBG-g-poly(AAm),Malachite green,NaN,NaN,52.96,10.21203/rs.3.rs-3831977/v1,,
Amidoxime-functionalized polypropylene fiber,Pb(II),NaN,NaN,45.64,59,,[Pb+2]
Fe-Cu alloy coated cellulose nanocrystals,Pb(II),NaN,NaN,39.9,62,,[Pb+2]
Cellulose-g-PMETAC (8% cellulose,0.05 crosslinker),nitrate,NaN,15,39.0,,
Polystyrene-based commercial resin,nitrate,NaN,15,40.0,text,,
Cellulose-g-PMETAC,nitrate,NaN,NaN,234.0,Table 1 experimental,,
Polystyrene-based commercial resin,nitrate,NaN,NaN,202.1,Table 1 experimental,,
Polystyrene-based commercial resin,nitrate,NaN,50,84.68,Table 2 pseudo-first order qe,,
Cellulose-g-PMETAC,nitrate,NaN,50,80.23,Table 2 pseudo-first order qe,,
coconut husk cellulose,methylene blue,7,30,2.9034,10.4236/msce.2024.122001,,
coconut husk cellulose,methylene blue,7,NaN,42.7168,10.4236/msce.2024.122001,,
pectin,methylene blue,NaN,0.03,97.28,10.3389/fsufs.2024.1395730,,
geopolymer powder,Cd,5,100,52.5,Section 3.2.2 / Fig. 8,,
geopolymer powder,Cd,NaN,NaN,87.1,Abstract,,
geopolymer bead,Cd,5,100,37.5,Table 3 (Z=0.5 Q=5),,
geopolymer monolith,Cd,5,100,35.9,Table 3 (Z=0.5 Q=5),,
Polypyrrole/chitason composites (PPy/Ch),Acaticd orange-RL,4,NaN,76.9,204,,
Chitosan-aniline,Crystal violet,>7,NaN,100.6,205,,
PET,Doxycycline,NaN,NaN,138.05,Usama et al.,,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
PET,Nitrofurantoin,NaN,NaN,126.79,Usama et al.,,
PET,Sulfadiazine,NaN,NaN,324.75,Usama et al.,,
poly(Acr/Sty) hydrogel,Cr(III),NaN,500,346.48,Khedr et al. Sci Rep (2025),,
poly(Acr/Sty) hydrogel,Cr(III),NaN,NaN,322.47,Khedr et al. Sci Rep (2025),,
poly(Acr/Sty) hydrogel (0.7 M),Cr(III),NaN,NaN,63.4,Khedr et al. Sci Rep (2025),,
P(AA-co-AMPS)-chitosan hydrogel (10:1),Crystal Violet,4.3,1000,1032,Section 3.3 Fig.5,,
polyethyleneimine,Cr(VI),2,NaN,44.6,10.15244/pjoes/188595,*CCN*,
polyethyleneimine,Cr(VI),9,NaN,3.8,10.15244/pjoes/188595,*CCN*,
polyethyleneimine,Cr(VI),NaN,50,32.42,10.15244/pjoes/188595,*CCN*,
polyethyleneimine,Cr(VI),4,50,44.33,10.15244/pjoes/188595,*CCN*,
polyethyleneimine,Cr(VI),4,80,49.65,10.15244/pjoes/188595,*CCN*,
polyethyleneimine,Cr(VI),4,NaN,51.1771,10.15244/pjoes/188595,*CCN*,
polyethyleneimine,Cr(VI),4,50.22,29.53,10.15244/pjoes/188595,*CCN*,
Nitrogen-rich cellulose gel,Rifampicin,7,30,117.02,Ngwabebhoh et al. (2025),,
Magnetic chitosan/Ag@MWCN,Ciprofloxacin,9,31.26,31.26,Sistanizadeh Aghdam et al. (2025),,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
PVP/Chitosan/ZnFe2O4,Amoxicillin,7.4,40,384.6,Mangla et al. (2024),,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C
PVA/HKUST,Cefixime,8,20,282.5,Mirzaei et al. (2025),,
Magnetic aerogel based on hemicellulose and chitosan,Congo red,NaN,NaN,137.8,"""Guan et al.",,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
polyurea,Congo red,7.0,0.72,1.20,Table 1,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
polyurea,Congo red,7.0,1.59,2.16,Table 1,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
polyurea,Congo red,7.0,2.70,4.14,Table 1,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
GG-PVA,methylene blue,7,20,61.85,10.1007/s10965-025-04555-1,,
GG-PVA,methylene blue,7,NaN,121.95,10.1007/s10965-025-04555-1,,
NFC+PANI,acid red,NaN,NaN,600,22,,
NFC+PANI,methylene blue,NaN,NaN,1363,22,,
Alginate/Chitosan/Melamine,Pb(II),NaN,NaN,1331.6,27,,[Pb+2]
Chitosan/PDA,Cr(VI),NaN,NaN,374.4,68,,
Chitosan/PDA,Pb(II),NaN,NaN,441.2,68,,[Pb+2]
Chitosan/Waste Paper Office,Cu(II),NaN,NaN,156.3,69,,
beta-CD/Chitosan/Hexamethylenetetramine,Cr(VI),NaN,NaN,333.8,70,,
beta-CD/Chitosan/Hexamethylenetetramine,methylene blue,NaN,NaN,395.7,70,,
beta-CD/Chitosan/Hexamethylenetetramine,RhB,NaN,NaN,364.3,70,,
Chitosan/Cellulose Sulfate,Pb(II),NaN,NaN,137.8,72,,[Pb+2]
Chitosan,Cu(II),NaN,NaN,108.14,66,,
Chitosan,Pb(II),NaN,NaN,,,,[Pb+2]
chitosan/Ag2O NPs composite,Tetracycline,NaN,30,0.33956,Majeed & Naser 2025,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
chitosan/Ag2O NPs composite,Tetracycline,NaN,10,0.608255,Majeed & Naser 2025,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
chitosan/Ag2O NPs composite,Tetracycline,NaN,20,1.114486,Majeed & Naser 2025,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
